card_id,note_id,deck_id,deck_name,front,back,tags,acronym,examples,port,protocol,type,queue,due,interval,factor,reps,lapses,created_at
"1728576557566","r8MCvD6mbP_1","sy0-701-objective-1-1","1.1 Security Controls","M1-011: A login screen warning banner stating 'Unauthorized access is prohibited' is a Technical control of which type?
A: Preventive
B: Directive
C: Corrective
D: Deterrent",">> CORRECT: D | Deterrent

Deterrent Controls schrecken durch Warnung ab, ohne direkt zu blockieren. Ein Splash-Screen-Warning ist Technical und Deterrent — er warnt, sperrt aber nicht.

 

 Merkhilfe: Warnung schreckt ab, sperrt aber nicht → Deterrent. Ein Banner ist eine Drohung, kein Schloss.","Security Controls","","","","","2","2","20605","5","1657","1","0","1777740526670"
"1728576798858","t%U.d{T8Xc_2","sy0-701-objective-1-1","1.1 Security Controls","M1-012: An onboarding policy that defines user security access levels is an example of a Preventive control in which category?
A: Technical
B: Physical
C: Managerial
D: Operational",">> CORRECT: C | Managerial

Onboarding-Policies sind administrative (Managerial) Maßnahmen. Sie definieren Zugriffsrechte schriftlich — Preventive, weil sie vorab Schaden verhindern.

 

 Merkhilfe: Policy = Papier = Managerial. Richtlinien werden von Management geschrieben und verwaltet, nicht von Technikern.","Security Controls","","","","","2","2","20620","14","1924","2","0","1777740526670"
"1728577258425","t}F1d4;hAG_1","sy0-701-objective-1-1","1.1 Security Controls","M1-013: HR policies that list demotion or termination as consequences for security violations are which type of Managerial control?
A: Corrective
B: Compensating
C: Deterrent
D: Detective",">> CORRECT: C | Deterrent

Deterrent Controls schrecken durch potenzielle Konsequenzen ab. Kündigungsandrohung ist ein klassisches Deterrent im Managerial-Bereich.

 

 Merkhilfe: Kündigung als Drohung schreckt ab → Deterrent. Konsequenzen ankündigen = abschrecken ohne aktiv zu sperren.","Security Controls","","","","","2","2","20605","5","1657","1","0","1777740526670"
"1728577295128","D8^p2{&;Ex_1","sy0-701-objective-1-1","1.1 Security Controls","M1-014: Using a reception desk to check in and direct visitors is an Operational control of which type?
A: Directive
B: Detective
C: Preventive
D: Deterrent",">> CORRECT: D | Deterrent

Ein Empfangsschalter schreckt unbefugte Besucher ab (Deterrent) ohne sie physisch aufzuhalten — Operational, da Menschen involviert sind.

 

 Merkhilfe: Empfang schreckt Unbekannte ab ohne sie zu sperren → Deterrent. Kein Zaun, nur eine soziale Barriere.","Security Controls","","","","","2","2","20608","2","3466","2","0","1777740526670"
"1728577400034","vQp~kA=Ln;_2","sy0-701-objective-1-1","1.1 Security Controls","M1-015: Warning signs threatening prosecution for trespassing are a Deterrent control in which category?
A: Operational
B: Technical
C: Managerial
D: Physical",">> CORRECT: D | Physical

Warnschilder auf dem Gelände sind Physical Controls — sie befinden sich in der physischen Welt und schrecken potenzielle Eindringlinge ab.

 

 Merkhilfe: Schild auf dem Grundstück = Physical. Zeichen und Schilder in der physischen Welt = Physical Control.","Security Controls","","","","","2","2","20605","5","1657","1","0","1777740526670"
"1728577609188","jWHz^phD=[_1","sy0-701-objective-1-1","1.1 Security Controls","M1-016: A system that automatically collects and reviews system logs to identify breaches is a Technical control of which type?
A: Preventive
B: Directive
C: Compensating
D: Detective",">> CORRECT: D | Detective

Detective Controls identifizieren Sicherheitsereignisse, nachdem sie eingetreten sind. Log-Sammlung ist ein klassisches Technical Detective Control.

 

 Merkhilfe: Logs sammeln = erkennen was passiert ist → Detective. Logfile = Detektiv-Notizbuch des Systems.","Security Controls","","","","","2","2","20605","5","1657","1","0","1777740526670"
"1728577652641","Elz[_db:gn_1","sy0-701-objective-1-1","1.1 Security Controls","M1-017: Scheduling regular reviews of login reports is a Managerial control of which type?
A: Corrective
B: Detective
C: Preventive
D: Compensating",">> CORRECT: B | Detective

Regelmäßige Login-Berichte analysieren, was passiert ist — Detective. Managerial, weil es ein administrativer Prozess ist.

 

 Merkhilfe: Berichte analysieren = nachträglich erkennen → Detective. Review = Rückblick auf das Vergangene.","Security Controls","","","","","2","2","20607","1","2900","2","1","1777740526670"
"1728577684600","b((@DyTj.L_1","sy0-701-objective-1-1","1.1 Security Controls","M1-018: Scheduling regular physical property patrols is an Operational control of which type?
A: Deterrent
B: Preventive
C: Detective
D: Corrective",">> CORRECT: C | Detective

Patrouillen erkennen Sicherheitsvorfälle durch Beobachtung — Detective. Operational, da Menschen die Maßnahme durchführen.

 

 Merkhilfe: Patrouille entdeckt Vorfälle → Detective. Herumgehen und schauen = erkennen, nicht verhindern.","Security Controls","","","","","0","0","37","1","2500","0","0","1777740526670"
"1728577715502","AgE~+Q{VE%_2","sy0-701-objective-1-1","1.1 Security Controls","M1-019: Motion detectors installed in secure areas are a Detective control in which category?
A: Technical
B: Operational
C: Managerial
D: Physical",">> CORRECT: D | Physical

Bewegungsmelder sind physische Geräte in der realen Welt — Physical Control. Sie erkennen Eindringlinge (Detective), verhindern sie aber nicht aktiv.

 

 Merkhilfe: Bewegungsmelder = Gerät in der physischen Welt → Physical. Elektronisch aber fest in der Realität angebracht.","Security Controls","","","","","0","0","38","1","2500","0","0","1777740526670"
"1728577866477","iNT[`Su028_2","sy0-701-objective-1-1","1.1 Security Controls","M1-020: Restoring encrypted backups to recover from a ransomware attack is a Corrective control in which category?
A: Physical
B: Operational
C: Managerial
D: Technical",">> CORRECT: D | Technical

Backup-Wiederherstellung ist ein technischer Vorgang — Technical. Corrective, weil es den Schaden eines aufgetretenen Vorfalls behebt.

 

 Merkhilfe: Backup-Wiederherstellung = IT-Vorgang = Technical. Daten wiederherstellen ist ein technischer Prozess.","Security Controls","","","","","0","0","41","1","2500","0","0","1777740526670"
"1728577900189","BzH4W06knd_1","sy0-701-objective-1-1","1.1 Security Controls","M1-021: Creating policies for reporting security incidents is a Managerial control of which type?
A: Directive
B: Detective
C: Corrective
D: Preventive",">> CORRECT: C | Corrective

Meldeprozesse korrigieren die Reaktion auf Vorfälle — Corrective. Managerial, da es sich um administrative Richtlinien handelt.

 

 Merkhilfe: Meldeprozess korrigiert die Reaktion auf Vorfälle → Corrective. Handeln nach dem Incident = Corrective.","Security Controls","","","","","0","0","42","1","2500","0","0","1777740526670"
"1728577946940","u)6#!Z^#hR_1","sy0-701-objective-1-1","1.1 Security Controls","M1-022: Contacting law enforcement after a security incident is an Operational control of which type?
A: Preventive
B: Deterrent
C: Detective
D: Corrective",">> CORRECT: D | Corrective

Strafverfolgungsbehörden einzuschalten reagiert auf einen eingetretenen Vorfall — Corrective. Operational, da Menschen die Handlung ausführen.

 

 Merkhilfe: Polizei rufen = nach dem Vorfall reagieren → Corrective. Reaktion auf eingetretenen Incident = Corrective.","Security Controls","","","","","0","0","43","1","2500","0","0","1777740526670"
"1728577973552","fVTsP[7`2s_2","sy0-701-objective-1-1","1.1 Security Controls","M1-023: Using a fire extinguisher to extinguish a fire is a Corrective control in which category?
A: Technical
B: Managerial
C: Operational
D: Physical",">> CORRECT: D | Physical

Ein Feuerlöscher ist ein physisches Gerät — Physical Control. Er korrigiert (Corrective) einen aktiven Schadensfall.

 

 Merkhilfe: Feuerlöscher = Gerät in der physischen Welt → Physical. Feuer löschen = Corrective, aber das Gerät selbst = Physical.","Security Controls","","","","","0","0","44","1","2500","0","0","1777740526670"
"1728578225454","KGrgjD)}l5_2","sy0-701-objective-1-1","1.1 Security Controls","M1-024: Blocking all traffic from a vulnerable application via a firewall rule until a patch is available is a Compensating control in which category?
A: Physical
B: Managerial
C: Operational
D: Technical",">> CORRECT: D | Technical

Die Firewall-Regel ist eine technische Maßnahme — Technical. Compensating, weil sie eine fehlende Kontrolle (noch nicht gepatchtes System) vorübergehend ersetzt.

 

 Merkhilfe: Firewall-Regel = technische Maßnahme = Technical. Firewall = IT-System → immer Technical Control.","Security Controls","","","","","0","0","48","1","2500","0","0","1777740526670"
"1728578357454","k,{86(}l~._2","sy0-701-objective-1-1","1.1 Security Controls","M1-025: Separating duties between individuals to prevent excessive access is a Compensating control in which category?
A: Technical
B: Operational
C: Physical
D: Managerial",">> CORRECT: D | Managerial

Aufgabentrennung (Separation of Duties) ist eine administrative Maßnahme — Managerial. Compensating, weil sie das Risiko durch alternative Kontrolle reduziert.

 

 Merkhilfe: Aufgabentrennung = organisatorische Policy = Managerial. Eine Management-Entscheidung, kein technisches System.","Security Controls","","","","","0","0","49","1","2500","0","0","1777740526670"
"1728578398808","eP1oAdxXcC_2","sy0-701-objective-1-1","1.1 Security Controls","M1-026: Requiring multiple security staff members so no single person handles all duties is a Compensating control in which category?
A: Managerial
B: Physical
C: Operational
D: Technical",">> CORRECT: C | Operational

Mehrere Sicherheitsmitarbeiter einzusetzen ist ein menschlicher Prozess — Operational. Compensating, weil fehlende Einzelkontrolle durch Team-Überwachung ausgeglichen wird.

 

 Merkhilfe: Mehrere Wachleute = Menschen = Operational. Wenn Menschen eine Aufgabe teilen, ist es Operational.","Security Controls","","","","","0","0","50","1","2500","0","0","1777740526670"
"1728578427113","h<dKx,gSSA_2","sy0-701-objective-1-1","1.1 Security Controls","M1-027: Installing a backup power generator is a Compensating control in which category?
A: Managerial
B: Operational
C: Technical
D: Physical",">> CORRECT: D | Physical

Ein Generator ist ein physisches Gerät — Physical Control. Er kompensiert (Compensating) den Ausfall der primären Stromversorgung.

 

 Merkhilfe: Generator = großes Gerät in der Realität = Physical. Physische Maschinen in der echten Welt = Physical Controls.","Security Controls Resilience and Recovery","","","","","0","0","51","1","2500","0","0","1777740526670"
"1728578626914","G{8<^O|_%<_1","sy0-701-objective-1-1","1.1 Security Controls","M1-028: Instructing staff to save sensitive files in password-protected folders is a Technical control of which type?
A: Compensating
B: Corrective
C: Preventive
D: Directive",">> CORRECT: D | Directive

Directive Controls lenken Benutzer zu sichererem Verhalten. Die Anweisung ist Technical (Passwortschutz), Directive (es gibt eine Verhaltensrichtlinie).

 

 Merkhilfe: Anweisung lenkt Verhalten → Directive. 'Speichere Dateien so...' = Directive (Anleitung, kein Verbot).","Security Controls","","","","","0","0","54","1","2500","0","0","1777740526670"
"1728578658721","Kp;#)gyNtG_1","sy0-701-objective-1-1","1.1 Security Controls","M1-029: Creating compliance policies and procedures is a Managerial control of which type?
A: Detective
B: Corrective
C: Compensating
D: Directive",">> CORRECT: D | Directive

Compliance-Richtlinien weisen Mitarbeiter auf gewünschtes Verhalten hin — Directive. Managerial, da sie administrative Dokumente sind.

 

 Merkhilfe: Compliance-Richtlinien leiten Personal an → Directive. Policy = Directive wenn sie Verhalten anleitet statt blockiert.","Security Controls","","","","","0","0","55","1","2500","0","0","1777740526670"
"1728578702367","jVcX>PcW/s_1","sy0-701-objective-1-1","1.1 Security Controls","M1-030: Training employees to follow security policies is an Operational control of which type?
A: Preventive
B: Detective
C: Directive
D: Corrective",">> CORRECT: C | Directive

Schulungen leiten Mitarbeiter zu sicherem Verhalten an — Directive. Operational, da es sich um eine menschliche, prozessorientierte Maßnahme handelt.

 

 Merkhilfe: Training zeigt wie man es richtig macht → Directive. Schulung = Anleitung = Directive, nicht Preventive.","Security Controls","","","","","0","0","56","1","2500","0","0","1777740526670"
"1728578743324","d1NFu2C+^(_2","sy0-701-objective-1-1","1.1 Security Controls","M1-031: Posting a sign on a restricted area door is a Directive control in which category?
A: Managerial
B: Technical
C: Operational
D: Physical",">> CORRECT: D | Physical

Ein physisches Schild in der realen Umgebung ist Physical Control. Es weist an (Directive), ohne aktiv zu sperren.

 

 Merkhilfe: Schild an Tür = physisch = Physical. Papier oder Schild an einer physischen Tür = Physical Control.","Security Controls","","","","","0","0","57","1","2500","0","0","1777740526670"
"1728580188327","Eo=6``?.2Z_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-032: Which technique primarily ensures Confidentiality by making data unreadable to unauthorized parties?
A: Hashing
B: Redundancy
C: Encryption
D: Tokenization",">> CORRECT: C | Encryption

Verschlüsselung macht Daten für Unbefugte unlesbar — primäre Methode für Confidentiality. Hashing dient der Integrität, nicht der Vertraulichkeit.

 

 Merkhilfe: Verschlüsselung macht Daten unlesbar → Confidentiality. En-crypt = ver-schlüsseln = Geheimhaltung.","Security Concepts Cryptographic Solutions","","","","","0","0","64","1","2500","0","0","1777740526670"
"1728580341002","xn2Jd|^>bM_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-033: Implementing Access Controls to allow only authorized users to view a resource primarily supports which element of the CIA Triad?
A: Integrity
B: Availability
C: Confidentiality
D: Non-repudiation",">> CORRECT: C | Confidentiality

Access Controls schränken ein, wer Daten sehen darf — das ist Confidentiality. Integrität betrifft Unverändertheit, Availability betrifft Erreichbarkeit.

 

 Merkhilfe: Nur Berechtigte sehen Daten → Confidentiality. Access Control = wer darf sehen = Vertraulichkeit.","Security Concepts","","","","","0","0","67","1","2500","0","0","1777740526670"
"1728580721902","p!_t)a].wa_3","sy0-701-objective-1-2","1.2 Security Concepts","M1-034: Which technology combines with a Digital Signature to verify the identity of a device or individual?
A: Firewall rules
B: Rainbow Tables
C: Certificates
D: Salting",">> CORRECT: C | Certificates

Zertifikate binden eine Public Key an eine Identität und ergänzen die digitale Signatur zur Identitätsverifikation. Ausgestellt von einer Certificate Authority.

 

 Merkhilfe: Zertifikat = Ausweis für den Public Key. Digital Signature + Zertifikat = Identität nachweisen.","Security Concepts","","","","","0","0","72","1","2500","0","0","1777740526670"
"1728580833593","Qc&#exfji&_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-035: Which concept involves building systems with duplicate components to ensure they remain operational at all times?
A: Patching
B: Redundancy
C: Encryption
D: Tokenization",">> CORRECT: B | Redundancy

Redundanz = Doppelauslegung kritischer Komponenten, um Ausfälle zu verhindern. Unterstützt Availability im CIA-Triad.

 

 Merkhilfe: Redundanz = immer ein Backup.","Security Concepts Resilience and Recovery","","","","","0","0","74","1","2500","0","0","1777740526670"
"1728580937868","L*Wd6zR<0}_4","sy0-701-objective-1-2","1.2 Security Concepts","M1-036: Which ongoing process maintains system Availability by closing security vulnerabilities and fixing bugs?
A: Hashing
B: Key Rotation
C: Patching
D: Tokenization",">> CORRECT: C | Patching

Patching hält Systeme stabil und sicher, indem bekannte Schwachstellen geschlossen werden — direkte Unterstützung von Availability und Integrity.

 

 Merkhilfe: Kein Patch → Lücke → Ausfall. Patching hält Systeme stabil und verfügbar → Availability.","Security Concepts","","","","","0","0","76","1","2500","0","0","1777740526670"
"1728581032043","[uN+rhB.T_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-037: Which security property ensures that a sender cannot later deny having sent a message?
A: Availability
B: Confidentiality
C: Integrity
D: Non-repudiation",">> CORRECT: D | Non-repudiation

Non-repudiation = Unleugbarkeit. Der Sender kann nicht abstreiten, eine Nachricht gesendet zu haben, da seine digitale Signatur beweisbar ist.

 

 Merkhilfe: Non = Nicht, Repudiation = Ablehnen. Nicht-Ablehnen = du kannst nicht sagen 'ich war's nicht'.","Security Concepts","","","","","0","0","77","1","2500","0","0","1777740526670"
"1728581130351","Q8YZ!$R/0U_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-038: Which concept is analogous to a handwritten signature on a legal contract, providing proof that a specific party agreed to something?
A: Encryption
B: Hashing
C: Non-repudiation
D: Access Control",">> CORRECT: C | Non-repudiation

Non-repudiation entspricht einer Unterschrift: beweisbar, nicht abstreitbar. Digitale Signaturen sind die technische Umsetzung in der IT.

 

 Merkhilfe: Digitale Unterschrift wie echte Unterschrift: bindend und beweisbar. Non-repudiation = Unleugbarkeit.","Security Concepts Cryptographic Solutions","","","","","0","0","78","1","2500","0","0","1777740526670"
"1728581175475","g8[|G%+dMM_1","sy0-701-objective-1-2","1.2 Security Concepts","M1-039: In cryptography, Non-repudiation provides Proof of Integrity and Proof of Origin with high assurance of which property?
A: Availability
B: Confidentiality
C: Redundancy
D: Authenticity",">> CORRECT: D | Authenticity

Authentizität stellt sicher, dass Daten wirklich vom angegebenen Sender stammen. Non-repudiation kombiniert Integrität + Herkunftsbeweis + Authentizität.

 

 Merkhilfe: Authentizität = 'ist es echt?'. Integrität (unverändert) + Herkunft (vom richtigen Absender) → authentisch.","Security Concepts Cryptographic Solutions","","","","","0","0","79","1","2500","0","0","1777740526670"
"1728581211819","htwoql5(S[_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-040: Which Non-repudiation component confirms that data has not been altered since it was created?
A: Proof of Availability
B: Proof of Origin
C: Proof of Integrity
D: Proof of Access",">> CORRECT: C | Proof of Integrity

Proof of Integrity = Nachweis, dass Daten unverändert sind. Realisiert durch Hashing. Proof of Origin = wer es gesendet hat (anderer Aspekt).

 

 Merkhilfe: Proof of Integrity = Beweis dass nichts geändert wurde → Hash-Vergleich. Unverändert = integer.","Security Concepts Cryptographic Solutions","","","","","0","0","80","1","2500","0","0","1777740526670"
"1728581264271","q|n$=Z;g.!_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-041: Which Non-repudiation component allows a receiver to verify where data originated from?
A: Proof of Integrity
B: Proof of Availability
C: Proof of Encryption
D: Proof of Origin",">> CORRECT: D | Proof of Origin

Proof of Origin = Herkunftsnachweis. Digitale Signaturen mit asymmetrischer Kryptografie ermöglichen den Nachweis, wer Daten gesendet hat.

 

 Merkhilfe: Origin = Herkunft. Proof of Origin = woher kommt es? → Digitale Signatur mit Private Key.","Security Concepts Cryptographic Solutions","","","","","0","0","81","1","2500","0","0","1777740526670"
"1728581355781","i{t5@^ivsc_1","sy0-701-objective-1-2","1.2 Security Concepts","M1-042: Which cryptographic mechanism is primarily used to verify data integrity?
A: Symmetric encryption
B: Key escrow
C: Digital certificate
D: Hash",">> CORRECT: D | Hash

Hashes erzeugen einen Fingerabdruck der Daten. Jede Änderung führt zu einem anderen Hash — damit wird Integrität nachgewiesen.

 

 Merkhilfe: Hash = Fingerabdruck. Ändert sich ein Bit, ändert sich der ganze Hash → Integritätsprüfung.","Security Concepts","","","","","0","0","82","1","2500","0","0","1777740526670"
"1728581458148","sP*!$mPy`6_4","sy0-701-objective-1-2","1.2 Security Concepts","M1-043: What is a short fixed-length value derived from arbitrary-length input data, sometimes called a 'message digest' or 'fingerprint'?
A: Salt
B: Session key
C: Digital signature
D: Hash",">> CORRECT: D | Hash

Ein Hash ist eine kryptografische Prüfsumme fester Länge. Unabhängig von der Eingabegröße ist die Ausgabe immer gleich lang (z.B. SHA-256 = 256 Bit).

 

 Merkhilfe: Egal wie groß die Datei: SHA-256 → immer 256 Bit. Hash = feste Ausgabelänge, variable Eingabe.","Security Concepts","","","","","0","0","83","1","2500","0","0","1777740526670"
"1728581782664","hl9R.c:&Rc_1","sy0-701-objective-1-2","1.2 Security Concepts","M1-044: Proof of Origin in the context of Non-repudiation is sometimes also referred to as what?
A: Authorization
B: Accounting
C: Authentication
D: Availability",">> CORRECT: C | Authentication

Authentication = Nachweis der Identität des Senders. Im Non-repudiation-Kontext ist Proof of Origin gleichbedeutend mit Authentication — wer hat es wirklich gesendet?

 

 Merkhilfe: Origin = wer hat es geschickt? = Authentication. Herkunftsnachweis = Identitätsnachweis des Senders.","Security Concepts Cryptographic Solutions","","","","","0","0","88","1","2500","0","0","1777740526670"
"1728582010811","gxC@v^:|q:_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-045: To verify a digital signature, the recipient uses which key to decrypt the message hash?
A: Recipient's private key
B: Shared symmetric key
C: Session key
D: Sender's public key",">> CORRECT: D | Sender's public key

Der Sender signiert mit seinem Private Key. Der Empfänger verifiziert mit dem Public Key des Senders. Public Key kann von jedem genutzt werden — daher öffentlich.

 

 Merkhilfe: Signiert mit Private Key → verifiziert mit Public Key. Sender's Public Key = Schlüssel zum Prüfen.","Security Concepts","","","","","0","0","90","1","2500","0","0","1777740526670"
"1728582261940","m`pp,C<k0m_3","sy0-701-objective-1-2","1.2 Security Concepts","M1-046: In security, the acronym AAA stands for Authentication, Authorization, and what?
A: Assessment
B: Availability
C: Accounting
D: Assurance",">> CORRECT: C | Accounting

AAA = Authentication (Wer bist du?), Authorization (Was darfst du?), Accounting (Was hast du getan?). Accounting = Protokollierung aller Aktivitäten.

 

 Merkhilfe: AAA = Wer bist du? / Was darfst du? / Was hast du getan? Die dritte A = Accounting = Protokollierung.","Security Concepts Identity and Access Management","","","","","0","0","92","1","2500","0","0","1777740526670"
"1728582344236","qL9jDlCS68_1","sy0-701-objective-1-2","1.2 Security Concepts","M1-047: In the AAA framework, which component determines what resources an already-authenticated user is permitted to access?
A: Accounting
B: Authentication
C: Auditing
D: Authorization",">> CORRECT: D | Authorization

Authorization = Berechtigungsprüfung nach der Identifikation. Erst Authentication (Wer bist du?), dann Authorization (Was darfst du?). Accounting protokolliert das Ergebnis.

 

 Merkhilfe: Auth-n = Wer? Auth-z = Was darf? Authorization = nach dem Login bestimmen was erlaubt ist.","Security Concepts Identity and Access Management","","","","","0","0","94","1","2500","0","0","1777740526670"
"1728582379407","yS};DQJMW-_2","sy0-701-objective-1-2","1.2 Security Concepts","M1-048: In the AAA framework, which component records the activities performed by an authenticated and authorized user?
A: Authorization
B: Authentication
C: Accounting
D: Access Control",">> CORRECT: C | Accounting

Accounting (auch Auditing) protokolliert, was ein Benutzer getan hat. Dient der Nachvollziehbarkeit und Forensik.

 

 Merkhilfe: Accounting = Protokollbuch.","Security Concepts","","","","","0","0","95","1","2500","0","0","1777740526670"
"1728582662217","A~P_014{Dn_1","sy0-701-objective-1-2","1.2 Security Concepts","M1-049: To authenticate a device (rather than a user) to a network resource, which mechanism is commonly used?
A: Username and password
B: PIN
C: Biometric scan
D: Digitally signed certificate",">> CORRECT: D | Digitally signed certificate

Geräte-Authentifizierung erfolgt über digitale Zertifikate, die von einer CA ausgestellt werden. Username/Passwort und Biometrie sind Methoden für Benutzer.

 

 Merkhilfe: Geräte haben kein Passwort-Gehirn → Zertifikat als Ausweis. Certificate = Geräte-Identitätsnachweis.","Security Concepts","","","","","0","0","96","1","2500","0","0","1777740526670"
"1728582727897","IVa-YaG&RG_1","sy0-701-objective-1-2","1.2 Security Concepts","M1-050: Which trusted third-party entity must be present to enable the use of digitally signed certificates for authentication?
A: RADIUS server
B: Certificate Authority
C: LDAP directory
D: Key escrow service",">> CORRECT: B | Certificate Authority

Eine Certificate Authority (CA) signiert und verwaltet Zertifikate. Ohne vertrauenswürdige CA keine vertrauenswürdigen Zertifikate.

 

 Merkhilfe: CA = Notar der digitalen Welt. Zertifikate ohne CA-Signatur = nicht vertrauenswürdig.","Security Concepts","","","","","0","0","97","1","2500","0","0","1777740526670"
